Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%,POS
Kyrie Irving,BOS,42,32.5,26,16,1.7,0.5,3.6,1.5,2.3,68.4,Guard
Kyle Lowry,TOR,39,34.2,29,10,1.4,0.5,3.9,1.6,2.4,68.8,Guard
Kyle Kuzma,LAL,46,33.1,25,21,0.7,0.4,5.2,1.9,3,64.5,Forward
Kyle Anderson,MEM,41,29.7,19,22,1.3,0.9,4.8,1.3,2.1,62.5,Forward
Kris Dunn,CHI,21,30.6,5,16,1.5,0.4,4.1,1.5,2.7,57.1,Guard
Klay Thompson,GSW,47,34.2,33,14,1.2,0.7,3.7,1.5,2.2,66.3,G/F
Khris Middleton,MIL,44,31,32,12,1.1,0.1,5.3,0.9,1.2,75.5,Forward
Kevin Love,CLE,4,33.9,0,4,0.3,0.3,11,3,6.3,48,C/F
Kevin Knox,NYK,38,27.3,8,30,0.5,0.4,3.4,1.9,2.5,78.7,Forward
Kevin Huerter,ATL,43,27.1,14,29,0.8,0.4,2.3,1.6,2,82.1,G/F
Kevin Durant,GSW,47,35.5,33,14,0.8,1.1,6.9,1.7,3,57.7,Forward
Kent Bazemore,ATL,35,27.4,11,24,1.7,0.9,3.4,1.7,2.7,63.8,G/F
Kemba Walker,CHA,47,34.3,23,24,1.3,0.5,3.7,1.8,2.4,74.3,Guard
Kelly Oubre Jr.,PHX,47,26.1,15,32,0.9,0.8,3.5,2,2.9,67.9,Forward
Kawhi Leonard,TOR,36,35,25,11,1.9,0.5,6.5,1.7,2.8,60.6,Forward
Karl-Anthony Towns,MIN,47,33.3,23,24,1,1.9,8.9,3.7,6.5,57.6,Center
Jusuf Nurkic,POR,49,27.3,29,20,1.1,1.6,7,3.2,5.7,56.8,Center
Justise Winslow,MIA,41,28.9,19,22,1,0.3,4.4,2,2.9,70.1,Forward
Justin Holiday,MEM,47,32.6,11,36,1.7,0.5,3.7,1.9,2.7,68.5,G/F
Julius Randle,NOP,47,29.6,22,25,0.6,0.6,7.2,2.6,4.2,61.1,C/F
Juancho Hernangomez,DEN,44,25,29,15,0.5,0.5,3.7,1.8,3,59,Forward
Jrue Holiday,NOP,48,36.8,22,26,1.6,0.8,3.5,2.3,3,76.8,Guard
Josh Richardson,MIA,44,34.5,21,23,1.1,0.5,3.1,1.5,2.2,70.5,G/F
Josh Hart,LAL,48,27.1,25,23,1.1,0.6,3.6,2.1,3.2,63.9,Guard
Jordan Clarkson,CLE,48,26.4,8,40,0.7,0.2,2.2,1.3,1.9,68.8,Guard
Jonathan Isaac,ORL,40,25.3,14,26,0.7,1,3.7,1.8,2.9,59.8,Forward
John Wall,WAS,32,34.5,11,21,1.5,0.9,3.2,1.7,2.7,62.8,Guard
John Collins,ATL,31,30,11,20,0.3,0.4,6.5,2.6,4.1,64.1,C/F
Joel Embiid,PHI,46,33.5,31,15,0.6,2,10.9,4.1,7.5,54.9,C/F
Joe Ingles,UTA,48,31.1,27,21,1.4,0.2,3.6,0.9,1.2,75.4,Forward
Joe Harris,BKN,45,29.9,26,19,0.6,0.2,3,1.5,2.4,61.1,G/F
JJ Redick,PHI,47,31.2,31,16,0.4,0.2,2,1.1,1.4,77.6,Guard
Jimmy Butler,PHI,38,33.1,22,16,2,0.6,3.2,2.2,3,71.3,G/F
Jeremy Lamb,CHA,44,29,22,22,1,0.3,4.8,2.1,2.8,74.2,Guard
Jerami Grant,OKC,47,31.9,29,18,0.9,1.4,4,2,3.5,58.5,Forward
Jeff Teague,MIN,31,30.3,17,14,1.1,0.4,2.1,1.3,1.7,75.9,Guard
Jeff Green,WAS,43,27.4,17,26,0.6,0.5,3.7,2.6,4,65.1,Forward
Jayson Tatum,BOS,48,31.1,30,18,1,0.8,5.2,1.5,2.3,63.1,Forward
